Energy_Meter_ID,Year,Month_Num,Present_Reading,Previous_Reading,Difference,Meter_Constant,Net_Energy_MU,Consumption_Ratio,Meter_Status_OK,meter_mean_diff,meter_std_diff,meter_mean_net,meter_std_net,meter_record_count,Diff_Zscore,Net_Energy_Zscore,Diff_Deviation_Ratio
Q0245916,2020,0,68.423,46.054,22.369,120000.0,2684280.0,0.4857124245450992,1,44.12260294117647,12.08437567798017,5366090.149253732,1335301.248486868,68,-1.8001428887067217,-2.0083933511577974,0.5069737166191665
KEB07711,2020,0,1153.92,1153.84,0.0800000000001546,20000.0,1600.00000000309,6.933370311321726e-05,1,0.1834782608695662,0.7445452523857999,3669.5652173913177,14890.905047715944,46,-0.1389818288919697,-0.1389818288919698,0.4360189573468116
Q0245899,2020,0,39.47,29.79,9.68,20000.0,193600.0,0.3249412554548506,1,9.431333333333336,3.55236493731814,190886.19718309864,68898.3537511435,72,0.0700003155797377,0.0393885001476732,1.0263660139959
Q0245701,2020,0,32.588,17.704,14.884,10000.0,148840.0,0.8407139629462268,1,30.7575,17.940807879931587,587681.0256410255,399980.85516549455,40,-0.8847706360958216,-1.097155076233467,0.4839144924002276
Q0245949,2020,0,117.438,68.41,49.028,20000.0,980560.0,0.7166788481216196,1,37.31822222222222,12.470915139988511,764864.2253521127,242559.7629313648,72,0.93896700012254,0.8892479611670838,1.3137817688111857
Q0245773,2020,0,50.464,46.006,4.458,40000.0,178320.0,0.0969004042950919,1,29.999624999999973,45.97636836445583,1004875.5555555556,577514.2749601826,72,-0.5555381146577492,-1.4312296533493365,0.1486018575232191
Q0245716,2020,0,66.181,35.683,30.498,40000.0,1219920.0,0.8546927108146737,1,21.62518055555556,14.921138887475545,876090.704225352,593584.408110889,72,0.594647601054909,0.5792424650588469,1.4103003635807794
Q0245847,2020,0,0.733,0.472,0.261,20000.0,5220.0,0.5529661016949153,1,54.00253333333333,32.792040365511475,1376707.7333333334,738008.7368551424,75,-1.638859086970848,-1.8583624621811643,0.0048331065949992
2208926,2020,0,9579.3,6339.524,3239.776,2000.0,6479552.0,0.5110440468401097,1,5373.7642857142855,944.0044907770816,10747528.57142857,1888008.981554164,14,-2.2605700572013574,-2.260570057201356,0.60288762732163
GECO2400,2020,0,19795.6,17946.1,1849.5,3000.0,5548500.0,0.10305860326199,1,2296.385714285715,336.18099259211584,6889157.142857144,1008542.9777763454,14,-1.329300954346089,-1.3293009543460903,0.8053960571581427
GECO2421,2020,0,31915.9,31605.2,310.700000000001,3000.0,932100.000000002,0.0098306607773404,1,1269.6999999999998,422.7545249117192,3809099.999999999,1268263.574735157,13,-2.2684559087812484,-2.26845590878125,0.2447034732614011
Q0245915,2020,0,183.57,137.865,45.705,120000.0,5484600.0,0.3315199651833315,1,60.67209302325582,17.88446336883331,7430185.7142857155,1932169.929421755,43,-0.8368768307210437,-1.006943377318772,0.7533117405803211
Q0245881,2020,0,40.936,35.498,5.438,20000.0,108760.0,0.1531917291114992,1,5.491263888888889,3.54975705176635,110582.81690140846,71206.78268622402,72,-0.0150049392429222,-0.0255989223588542,0.9903002496389468
Q0245703,2020,0,43.052,31.842,11.21,20000.0,224200.0,0.3520507505809937,1,7.250782608695652,4.617262983933441,147553.7777777778,91751.76558343042,46,0.8574814571058926,0.8353650933564579,1.5460400076753336
Q0245763,2020,0,27.091,19.174,7.917,40000.0,316680.0,0.4129028893293001,1,5.324028169014084,2.556519765908508,212961.12676056335,102260.7906363403,71,1.014258471834836,1.014258471834836,1.48703195187378
Q0245756,2020,0,47.351,34.031,13.32,40000.0,532800.0,0.3914078340336752,1,4.927042253521127,4.819802463162096,197081.69014084508,192792.09852648395,71,1.7413489060239538,1.7413489060239526,2.7034474872791723
Q0245885,2020,0,151.053,106.294,44.759,20000.0,895180.0,0.4210867969970083,1,10.859778378378376,18.73837633034432,344557.15068493143,1059402.593219086,74,1.8090799877215789,0.5197484439243759,4.121538989148652
Q0245739,2020,0,176.796,121.124,55.672,10000.0,556720.0,0.4596281496648063,1,39.94781944444444,11.267900132210784,415160.42253521126,104383.1187971452,72,1.3954845508974565,1.3561539365372968,1.3936179940290163
Q0245809,2020,0,71.672,47.944,23.728,20000.0,474560.0,0.494910729184048,1,23.615661971830985,5.396258698510247,487234.3661971831,137110.4789652949,71,0.0208177617948579,-0.0924390775441109,1.0047569290373064
Q0245113,2020,0,98.842,77.975,20.867,20000.0,417340.0,0.2676114139147162,1,24.286676056338035,20.28085999217323,965589.014084507,813747.7718576561,71,-0.1686159293865128,-0.6737333520839537,0.8591953856342721
Q0245930,2020,0,218.552,166.123,52.429,20000.0,1048580.0,0.3156034986124739,1,77.40174999999999,143.8936639763133,2267442.5,526540.6872759613,72,-0.1735500320855741,-2.314849601282932,0.6773619459508345
Q0245713,2020,0,68.712,57.303,11.409,40000.0,456360.0,0.1990995235851526,1,32.79048611111111,15.874084052531863,1311619.4444444445,634963.3621012745,72,-1.3469429820551335,-1.3469429820551335,0.3479362874139899
Q0245916,2020,0,76.138,68.423,7.715,120000.0,925800.0,0.1127544831416336,1,44.12260294117647,12.08437567798017,5366090.149253732,1335301.248486868,68,-3.01278311030312,-3.325309666478155,0.1748536914353287
